"age","ageMarried","monthsSinceM","pregnancies","children","sons","region","literacy"
27,"20to22",71,1,1,0,"lt10k","yes"
47,"22to25",277,1,1,0,"lt10k","yes"
25,"0to15",156,1,1,1,"lt10k","yes"
27,"22to25",50,1,1,1,"lt10k","yes"
37,"15to18",246,2,2,2,"lt10k","yes"
24,"15to18",80,2,2,1,"lt10k","yes"
28,"25to30",9,0,0,0,"lt10k","yes"
38,"22to25",183,2,3,1,"lt10k","no"
22,"20to22",3,0,0,0,"lt10k","yes"
34,"22to25",150,2,2,2,"lt10k","yes"
41,"25to30",198,1,1,0,"lt10k","yes"
37,"18to20",220,2,2,1,"lt10k","yes"
46,"20to22",298,2,2,1,"lt10k","yes"
48,"20to22",345,1,1,1,"lt10k","yes"
36,"22to25",145,1,1,0,"lt10k","yes"
39,"18to20",239,5,5,2,"lt10k","yes"
31,"20to22",120,2,2,1,"lt10k","yes"
